Statistical profiling result from isolate-0x2c85af0-4278-v8.log, (33070 ticks, 80 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  LazyCompile: *SBMH._sbmh_feed /home/isucon/isucari/webapp/nodejs/node_modules/streamsearch/lib/sbmh.js:60:37
      2    0.0%    0.0%  LazyCompile: *Readable _stream_readable.js:151:18
      2    0.0%    0.0%  LazyCompile: *Query /home/isucon/isucari/webapp/nodejs/node_modules/mysql2/lib/commands/query.js:17:14
      2    0.0%    0.0%  LazyCompile: *ByteInputStream.get /home/isucon/isucari/webapp/nodejs/node_modules/busboy/deps/encoding/encoding.js:92:22
      2    0.0%    0.0%  LazyCompile: *<anonymous> internal/util/debuglog.js:57:18
      1    0.0%    0.0%  RegExp: ^TLS_
      1    0.0%    0.0%  RegExp: ^((?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])[.]){3}(?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])$
      1    0.0%    0.0%  RegExp: [\0\b\t\n\r\x1a\"\'\\] {1}
      1    0.0%    0.0%  RegExp: [\0\b\t\n\r\x1a\"\'\\]
      1    0.0%    0.0%  LazyCompile: *writeUInt8 internal/buffer.js:733:20
      1    0.0%    0.0%  LazyCompile: *writeHeader /home/isucon/isucari/webapp/nodejs/node_modules/mysql2/lib/packets/packet.js:800:14
      1    0.0%    0.0%  LazyCompile: *write /home/isucon/isucari/webapp/nodejs/node_modules/mysql2/lib/connection.js:220:8
      1    0.0%    0.0%  LazyCompile: *toInteger buffer.js:160:19
      1    0.0%    0.0%  LazyCompile: *sanitizeUrl /home/isucon/isucari/webapp/nodejs/node_modules/find-my-way/index.js:546:22
      1    0.0%    0.0%  LazyCompile: *removeListener events.js:326:28
      1    0.0%    0.0%  LazyCompile: *parserOnIncoming _http_server.js:676:26
      1    0.0%    0.0%  LazyCompile: *parseParams /home/isucon/isucari/webapp/nodejs/node_modules/busboy/lib/utils.js:7:21
      1    0.0%    0.0%  LazyCompile: *parseLengthCodedInt /home/isucon/isucari/webapp/nodejs/node_modules/mysql2/lib/packets/packet.js:648:22
      1    0.0%    0.0%  LazyCompile: *onceWrapper events.js:293:21
      1    0.0%    0.0%  LazyCompile: *once events.js:309:44
      1    0.0%    0.0%  LazyCompile: *matchKnownFields _http_incoming.js:139:26
      1    0.0%    0.0%  LazyCompile: *keyFromFields /home/isucon/isucari/webapp/nodejs/node_modules/mysql2/lib/parsers/parser_cache.js:9:23
      1    0.0%    0.0%  LazyCompile: *hookRunner /home/isucon/isucari/webapp/nodejs/node_modules/fastify/lib/hooks.js:61:21
      1    0.0%    0.0%  LazyCompile: *hidden internal/errors.js:233:25
      1    0.0%    0.0%  LazyCompile: *getLoginUser /home/isucon/isucari/webapp/nodejs/index.js:1568:28
      1    0.0%    0.0%  LazyCompile: *getDBConnection /home/isucon/isucari/webapp/nodejs/index.js:73:31
      1    0.0%    0.0%  LazyCompile: *get internal/bootstrap/pre_execution.js:271:8
      1    0.0%    0.0%  LazyCompile: *forEach /home/isucon/isucari/webapp/nodejs/node_modules/axios/lib/utils.js:207:17
      1    0.0%    0.0%  LazyCompile: *endReadableNT _stream_readable.js:1171:23
      1    0.0%    0.0%  LazyCompile: *deepMerge /home/isucon/isucari/webapp/nodejs/node_modules/axios/lib/utils.js:275:19
      1    0.0%    0.0%  LazyCompile: *decodeChunk _stream_writable.js:346:21
      1    0.0%    0.0%  LazyCompile: *createWriteWrap internal/stream_base_commons.js:95:25
      1    0.0%    0.0%  LazyCompile: *connect _tls_wrap.js:1371:35
      1    0.0%    0.0%  LazyCompile: *cleanParser _http_common.js:224:21
      1    0.0%    0.0%  LazyCompile: *arrayClone events.js:481:20
      1    0.0%    0.0%  LazyCompile: *_unrefTimer net.js:344:52
      1    0.0%    0.0%  LazyCompile: *_finish _http_server.js:171:52
      1    0.0%    0.0%  LazyCompile: *_addHeaderLines _http_incoming.js:111:25
      1    0.0%    0.0%  LazyCompile: *ReadableState _stream_readable.js:72:23
      1    0.0%    0.0%  LazyCompile: *OutgoingMessage _http_outgoing.js:72:25
      1    0.0%    0.0%  LazyCompile: *EventEmitter.init events.js:82:29
      1    0.0%    0.0%  LazyCompile: *EventEmitter events.js:42:22
      1    0.0%    0.0%  LazyCompile: *ClientRequest _http_client.js:76:23
      1    0.0%    0.0%  LazyCompile: *<anonymous> /home/isucon/isucari/webapp/nodejs/node_modules/mysql2/promise.js:7:18
      1    0.0%    0.0%  LazyCompile: *<anonymous> /home/isucon/isucari/webapp/nodejs/node_modules/mysql2/lib/connection.js:221:31
      1    0.0%    0.0%  LazyCompile: *<anonymous> /home/isucon/isucari/webapp/nodejs/index.js:536:33

 [C++]:
   ticks  total  nonlib   name
   7835   23.7%   35.8%  __libc_write
   6196   18.7%   28.3%  epoll_pwait
    613    1.9%    2.8%  __libc_read
    352    1.1%    1.6%  void node::StreamBase::JSMethod<&node::StreamBase::Writev>(v8::FunctionCallbackInfo<v8::Value> const&)
    330    1.0%    1.5%  void node::StreamBase::JSMethod<&node::StreamBase::WriteBuffer>(v8::FunctionCallbackInfo<v8::Value> const&)
    267    0.8%    1.2%  epoll_ctl
    214    0.6%    1.0%  __libc_malloc
    157    0.5%    0.7%  node::TLSWrap::Start(v8::FunctionCallbackInfo<v8::Value> const&)
    150    0.5%    0.7%  __lll_unlock_wake
    137    0.4%    0.6%  cfree
    101    0.3%    0.5%  syscall
    100    0.3%    0.5%  node::cares_wrap::(anonymous namespace)::GetAddrInfo(v8::FunctionCallbackInfo<v8::Value> const&)
     98    0.3%    0.4%  node::crypto::SecureContext::Init(v8::FunctionCallbackInfo<v8::Value> const&)
     96    0.3%    0.4%  node::crypto::SSLWrap<node::TLSWrap>::SetSession(v8::FunctionCallbackInfo<v8::Value> const&)
     83    0.3%    0.4%  node::contextify::ContextifyContext::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
     82    0.2%    0.4%  node::crypto::SecureContext::SetCiphers(v8::FunctionCallbackInfo<v8::Value> const&)
     81    0.2%    0.4%  _init
     69    0.2%    0.3%  node::Buffer::(anonymous namespace)::ParseArrayIndex(node::Environment*, v8::Local<v8::Value>, unsigned long, unsigned long*)
     58    0.2%    0.3%  void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
     57    0.2%    0.3%  __pthread_cond_signal
     56    0.2%    0.3%  v8::internal::FixedArray::set(int, v8::internal::Object)
     45    0.1%    0.2%  node::HandleWrap::Close(v8::FunctionCallbackInfo<v8::Value> const&)
     44    0.1%    0.2%  __GI___pthread_mutex_lock
     43    0.1%    0.2%  node::native_module::NativeModuleEnv::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
     42    0.1%    0.2%  v8::internal::DateParser::DateStringTokenizer<unsigned char const>::Scan()
     42    0.1%    0.2%  node::InternalCallbackScope::Close()
     41    0.1%    0.2%  v8::String::Utf8Length(v8::Isolate*) const
     38    0.1%    0.2%  node::LibuvStreamWrap::Initialize(v8::Local<v8::Object>, v8::Local<v8::Value>, v8::Local<v8::Context>, void*)::{lambda(v8::FunctionCallbackInfo<v8::Value> const&)#1}::_FUN(v8::FunctionCallbackInfo<v8::Value> const&)
     37    0.1%    0.2%  void node::GetSockOrPeerName<node::TCPWrap, &uv_tcp_getpeername>(v8::FunctionCallbackInfo<v8::Value> const&)
     37    0.1%    0.2%  v8::ArrayBuffer::GetContents()
     36    0.1%    0.2%  node::StreamBase::CallJSOnreadMethod(long, v8::Local<v8::ArrayBuffer>, unsigned long)
     34    0.1%    0.2%  v8::Function::Call(v8::Local<v8::Context>, v8::Local<v8::Value>, int, v8::Local<v8::Value>*)
     34    0.1%    0.2%  node::TLSWrap::DestroySSL(v8::FunctionCallbackInfo<v8::Value> const&)
     34    0.1%    0.2%  node::StringBytes::Encode(v8::Isolate*, char const*, unsigned long, node::encoding, v8::Local<v8::Value>*)
     33    0.1%    0.2%  void node::StreamBase::JSMethod<&node::StreamBase::Shutdown>(v8::FunctionCallbackInfo<v8::Value> const&)
     32    0.1%    0.1%  v8::internal::Builtin_TypedArrayPrototypeBuffer(int, unsigned long*, v8::internal::Isolate*)
     31    0.1%    0.1%  node::TCPWrap::Connect(v8::FunctionCallbackInfo<v8::Value> const&)
     31    0.1%    0.1%  __GI___pthread_getspecific
     30    0.1%    0.1%  operator new(unsigned long)
     29    0.1%    0.1%  node::AsyncWrap::EmitTraceEventAfter(node::AsyncWrap::ProviderType, double)
     27    0.1%    0.1%  v8::(anonymous namespace)::CallDepthScope<true>::CallDepthScope(v8::internal::Isolate*, v8::Local<v8::Context>)
     26    0.1%    0.1%  write
     24    0.1%    0.1%  v8::internal::SafepointTable::FindEntry(unsigned long) const
     24    0.1%    0.1%  v8::String::NewFromUtf8(v8::Isolate*, char const*, v8::NewStringType, int)
     24    0.1%    0.1%  int v8::(anonymous namespace)::WriteUtf8Impl<unsigned char>(v8::internal::Vector<unsigned char const>, char*, int, int, int*)
     23    0.1%    0.1%  node::AsyncWrap::EmitTraceEventBefore()
     21    0.1%    0.1%  __GI___pthread_mutex_unlock
     20    0.1%    0.1%  do_futex_wait.constprop.1
     19    0.1%    0.1%  void node::Buffer::(anonymous namespace)::StringWrite<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
     19    0.1%    0.1%  v8::internal::String::Flatten(v8::internal::Isolate*, v8::internal::Handle<v8::internal::String>, v8::internal::AllocationType)
     19    0.1%    0.1%  v8::internal::SafepointTable::SafepointTable(v8::internal::Code)
     19    0.1%    0.1%  operator delete(void*)
     19    0.1%    0.1%  __lll_lock_wait
     18    0.1%    0.1%  node::(anonymous namespace)::Parser::Execute(v8::FunctionCallbackInfo<v8::Value> const&)
     18    0.1%    0.1%  mprotect
     18    0.1%    0.1%  bool v8::internal::DateParser::Parse<unsigned char const>(v8::internal::Isolate*, v8::internal::Vector<unsigned char const>, v8::internal::FixedArray)
     17    0.1%    0.1%  v8::Value::IsArrayBufferView() const
     17    0.1%    0.1%  node::TLSWrap::Wrap(v8::FunctionCallbackInfo<v8::Value> const&)
     17    0.1%    0.1%  __pthread_cond_timedwait
     16    0.0%    0.1%  v8::internal::Builtin_ErrorConstructor(int, unsigned long*, v8::internal::Isolate*)
     16    0.0%    0.1%  v8::Value::IntegerValue(v8::Local<v8::Context>) const
